account_number,date,therms,usaf
1169226403,2/6/12,82,
1169226403,3/7/12,68,
1169226403,4/5/12,58,
1169226403,5/7/12,32,
1169226403,6/6/12,24,
1169226403,7/6/12,24,
1169226403,8/6/12,27,
1169226403,9/5/12,18,
1169226403,10/4/12,12,
1169226403,11/2/12,14,
1169226403,12/5/12,26,
1169226403,1/7/13,52,
1169226403,2/5/13,41,
1169226403,3/7/13,51,
1465981927,1/15/09,18,
1465981927,2/13/09,13,
1465981927,3/17/09,13,
1465981927,4/15/09,11,
1465981927,5/15/09,9,
1465981927,6/16/09,10,
1465981927,7/16/09,9,
1465981927,8/14/09,7,
1465981927,9/15/09,9,
1465981927,10/14/09,7,
1465981927,11/13/09,13,
1465981927,12/15/09,12,
1465981927,1/15/10,13,
1465981927,2/16/10,14,
1465981927,3/17/10,12,
1465981927,4/15/10,12,
1465981927,5/17/10,14,
1465981927,6/16/10,10,
1465981927,7/16/10,11,
1465981927,8/16/10,9,
1465981927,9/16/10,9,
1465981927,10/15/10,8,
1465981927,11/15/10,10,
1465981927,12/15/10,10,
1465981927,1/14/11,13,
1465981927,2/15/11,15,
1465981927,3/17/11,13,
1465981927,4/15/11,12,
1465981927,5/17/11,11,
1465981927,6/16/11,10,
1465981927,7/18/11,11,
1465981927,8/16/11,9,
1465981927,9/15/11,10,
1465981927,10/14/11,8,
1465981927,11/14/11,14,
1465981927,12/14/11,14,
1465981927,1/16/12,22,
1465981927,2/14/12,19,
1465981927,3/15/12,19,
1465981927,4/16/12,15,
1465981927,5/15/12,12,
1465981927,6/14/12,8,
1465981927,7/16/12,9,
1465981927,8/14/12,6,
1465981927,9/13/12,7,
1465981927,10/12/12,7,
1465981927,11/12/12,10,
1465981927,11/18/12,1,
1546034441,9/15/11,18,
1546034441,10/14/11,26,
1546034441,11/14/11,35,
1546034441,12/14/11,72,
1546034441,1/16/12,84,
1546034441,2/14/12,67,
1546034441,3/15/12,69,
1546034441,4/16/12,61,
1546034441,5/15/12,38,
1546034441,6/14/12,37,
1546034441,7/16/12,46,
1546034441,8/14/12,37,
1546034441,9/13/12,30,
1546034441,10/12/12,21,
1546034441,11/12/12,27,
1546034441,12/13/12,33,
1546034441,1/15/13,77,
1546034441,2/13/13,46,
1546034441,3/15/13,50,
1635614640,11/19/10,21,
1635614640,12/21/10,80,
1635614640,1/21/11,78,
1635614640,2/22/11,74,
1635614640,3/23/11,55,
1635614640,4/21/11,51,
1635614640,5/23/11,39,
1635614640,6/22/11,29,
1635614640,7/22/11,25,
1635614640,8/22/11,27,
1635614640,9/21/11,21,
1635614640,10/20/11,22,
1635614640,11/18/11,39,
1635614640,12/20/11,86,
1635614640,1/20/12,64,
1635614640,2/21/12,82,
1635614640,3/21/12,75,
1635614640,4/20/12,31,
1635614640,5/21/12,25,
1635614640,6/20/12,27,
1635614640,7/20/12,23,
1635614640,8/20/12,19,
1635614640,9/19/12,15,
1635614640,10/18/12,15,
1635614640,11/16/12,18,
1635614640,12/19/12,51,
1635614640,1/21/13,103,
1635614640,2/20/13,63,
2004105553,1/29/09,5,
2004105553,3/2/09,22,
2004105553,3/31/09,39,
2004105553,4/30/09,30,
2004105553,6/1/09,25,
2004105553,6/30/09,22,
2004105553,7/30/09,3,
2004105553,8/28/09,10,
2004105553,9/29/09,10,
2004105553,10/28/09,13,
2004105553,11/30/09,31,
2004105553,12/30/09,52,
2004105553,1/29/10,6,
2004105553,3/2/10,19,
2004105553,3/31/10,30,
2004105553,4/30/10,20,
2004105553,6/1/10,16,
2004105553,6/30/10,10,
2004105553,7/30/10,11,
2004105553,8/30/10,9,
2004105553,9/30/10,11,
2004105553,10/29/10,13,
2004105553,11/30/10,29,
2004105553,12/30/10,50,
2004105553,1/31/11,52,
2004105553,3/2/11,55,
2004105553,3/31/11,33,
2004105553,4/29/11,22,
2004105553,6/1/11,19,
2004105553,6/30/11,16,
2004105553,8/1/11,13,
2004105553,8/30/11,11,
2004105553,9/29/11,11,
2004105553,10/28/11,17,
2004105553,11/29/11,37,
2004105553,12/29/11,61,
2004105553,1/30/12,58,
2004105553,2/29/12,54,
2004105553,3/29/12,40,
2004105553,4/30/12,30,
2004105553,5/30/12,14,
2004105553,6/28/12,12,
2004105553,7/30/12,12,
2004105553,8/28/12,9,
2004105553,9/27/12,9,
2004105553,10/26/12,10,
2004105553,11/28/12,24,
2004105553,12/28/12,45,
2004105553,1/29/13,79,
2004105553,2/28/13,55,
2053166806,1/30/09,32,
2053166806,3/3/09,44,
2053166806,4/1/09,30,
2053166806,5/1/09,17,
2053166806,6/2/09,14,
2053166806,7/1/09,10,
2053166806,7/31/09,9,
2053166806,8/31/09,7,
2053166806,9/30/09,6,
2053166806,10/29/09,5,
2053166806,12/1/09,22,
2053166806,12/31/09,55,
2053166806,2/1/10,39,
2053166806,3/3/10,40,
2053166806,4/1/10,33,
2053166806,5/3/10,26,
2053166806,6/2/10,11,
2053166806,7/1/10,11,
2053166806,8/2/10,10,
2053166806,8/31/10,7,
2053166806,10/1/10,11,
2053166806,11/1/10,13,
2053166806,12/1/10,32,
2053166806,12/31/10,46,
2053166806,2/1/11,27,
2053166806,3/3/11,48,
2053166806,4/1/11,31,
2053166806,5/2/11,23,
2053166806,6/2/11,18,
2053166806,7/1/11,8,
2053166806,8/2/11,11,
2053166806,8/31/11,12,
2053166806,9/30/11,11,
2053166806,10/31/11,13,
2053166806,11/30/11,32,
2053166806,12/30/11,48,
2053166806,1/31/12,48,
2053166806,3/1/12,56,
2053166806,3/30/12,41,
2053166806,5/1/12,30,
2053166806,5/31/12,14,
2053166806,6/29/12,12,
2053166806,7/31/12,16,
2053166806,8/29/12,9,
2053166806,9/28/12,11,
2053166806,10/29/12,3,
2053166806,11/29/12,13,
2053166806,12/31/12,46,
2053166806,1/30/13,45,
2053166806,3/1/13,46,
2240363402,1/6/09,59,
2240363402,2/4/09,36,
2240363402,3/6/09,35,
2240363402,4/6/09,27,
2240363402,5/6/09,25,
2240363402,6/5/09,20,
2240363402,7/7/09,21,
2240363402,8/5/09,21,
2240363402,9/3/09,17,
2240363402,10/5/09,19,
2240363402,11/3/09,20,
2240363402,12/4/09,22,
2240363402,1/6/10,46,
2240363402,2/4/10,33,
2240363402,3/8/10,39,
2240363402,4/6/10,21,
2240363402,5/6/10,21,
2240363402,6/7/10,22,
2240363402,7/7/10,18,
2240363402,8/5/10,17,
2240363402,9/7/10,20,
2240363402,10/6/10,19,
2240363402,11/4/10,20,
2240363402,12/6/10,45,
2240363402,1/5/11,53,
2240363402,2/4/11,45,
2240363402,3/8/11,40,
2240363402,4/6/11,25,
2240363402,5/5/11,24,
2240363402,6/7/11,27,
2240363402,7/7/11,23,
2240363402,8/5/11,19,
2240363402,9/6/11,22,
2240363402,10/5/11,22,
2240363402,11/3/11,22,
2240363402,12/5/11,31,
2240363402,1/5/12,54,
2240363402,2/3/12,43,
2240363402,3/6/12,32,
2240363402,4/4/12,24,
2240363402,5/4/12,22,
2240363402,6/5/12,21,
2240363402,7/5/12,17,
2240363402,8/3/12,12,
2240363402,9/4/12,9,
2240363402,10/3/12,9,
2240363402,11/1/12,12,
2240363402,12/4/12,20,
2240363402,1/4/13,29,
2240363402,2/4/13,39,
2240363402,3/6/13,27,
2292388902,1/7/09,88,
2292388902,2/5/09,46,
2292388902,3/9/09,51,
2292388902,4/7/09,44,
2292388902,5/7/09,33,
2292388902,6/8/09,25,
2292388902,7/8/09,23,
2292388902,8/6/09,17,
2292388902,9/4/09,17,
2292388902,10/6/09,19,
2292388902,11/4/09,26,
2292388902,12/7/09,50,
2292388902,1/7/10,61,
2292388902,2/5/10,61,
2292388902,3/9/10,59,
2292388902,4/7/10,42,
2292388902,5/7/10,30,
2292388902,6/8/10,31,
2292388902,7/8/10,26,
2292388902,8/6/10,22,
2292388902,9/8/10,26,
2292388902,10/7/10,23,
2292388902,11/5/10,25,
2292388902,12/7/10,77,
2292388902,1/6/11,84,
2292388902,2/7/11,83,
2292388902,3/9/11,72,
2292388902,4/7/11,48,
2292388902,5/6/11,29,
2292388902,6/8/11,30,
2292388902,7/8/11,27,
2292388902,8/8/11,24,
2292388902,9/7/11,25,
2292388902,10/6/11,25,
2292388902,11/4/11,25,
2292388902,12/6/11,60,
2292388902,1/6/12,87,
2292388902,2/6/12,74,
2292388902,3/7/12,57,
2292388902,4/5/12,47,
2292388902,5/7/12,28,
2292388902,6/6/12,12,
2292388902,7/6/12,13,
2292388902,8/6/12,17,
2292388902,9/5/12,9,
2292388902,10/4/12,8,
2292388902,11/2/12,12,
2292388902,12/5/12,28,
2292388902,1/7/13,72,
2292388902,2/5/13,58,
2292388902,3/7/13,55,
2292801231,10/6/11,1,
2292801231,11/4/11,6,
2292801231,12/6/11,12,
2292801231,1/6/12,19,
2292801231,2/6/12,26,
2292801231,3/7/12,10,
2292801231,4/5/12,13,
2292801231,5/7/12,15,
2292801231,6/6/12,11,
2292801231,7/6/12,6,
2292801231,8/6/12,8,
2292801231,9/5/12,4,
2292801231,10/4/12,7,
2292801231,11/2/12,8,
2292801231,12/5/12,20,
2292801231,1/7/13,36,
2292801231,2/5/13,27,
2292801231,3/7/13,28,
3417839450,1/7/09,133,
3417839450,2/5/09,53,
3417839450,3/9/09,10,
3417839450,4/7/09,34,
3417839450,5/7/09,7,
3417839450,6/8/09,7,
3417839450,7/8/09,6,
3417839450,8/6/09,5,
3417839450,9/4/09,4,
3417839450,10/6/09,6,
3417839450,11/4/09,39,
3417839450,12/7/09,59,
3417839450,1/7/10,119,
3417839450,2/5/10,139,
3417839450,3/9/10,141,
3417839450,4/7/10,60,
3417839450,5/7/10,55,
3417839450,6/8/10,53,
3417839450,7/8/10,42,
3417839450,8/6/10,39,
3417839450,9/8/10,45,
3417839450,10/7/10,39,
3417839450,11/5/10,42,
3417839450,12/7/10,117,
3417839450,1/6/11,114,
3417839450,2/7/11,105,
3417839450,3/9/11,102,
3417839450,4/7/11,70,
3417839450,5/6/11,53,
3417839450,6/8/11,54,
3417839450,7/8/11,52,
3417839450,8/8/11,49,
3417839450,9/7/11,43,
3417839450,10/6/11,48,
3417839450,11/4/11,49,
3417839450,12/6/11,109,
3417839450,1/6/12,115,
3417839450,2/6/12,155,
3417839450,3/7/12,127,
3417839450,4/5/12,83,
3417839450,5/7/12,62,
3417839450,6/6/12,52,
3417839450,7/6/12,49,
3417839450,8/6/12,44,
3417839450,9/5/12,39,
3417839450,10/4/12,41,
3417839450,11/2/12,42,
3417839450,12/5/12,54,
3417839450,1/7/13,86,
3417839450,2/5/13,101,
3417839450,3/7/13,81,
3798085090,1/15/09,28,
3798085090,2/13/09,22,
3798085090,3/17/09,24,
3798085090,4/15/09,18,
3798085090,5/15/09,17,
3798085090,6/16/09,13,
3798085090,7/16/09,10,
3798085090,8/14/09,5,
3798085090,9/15/09,4,
3798085090,10/14/09,5,
3798085090,11/13/09,5,
3798085090,12/15/09,8,
3798085090,1/15/10,19,
3798085090,2/16/10,23,
3798085090,3/17/10,15,
3798085090,4/15/10,14,
3798085090,5/17/10,14,
3798085090,6/16/10,12,
3798085090,7/16/10,13,
3798085090,8/16/10,14,
3798085090,9/16/10,12,
3798085090,10/15/10,13,
3798085090,11/15/10,14,
3798085090,12/15/10,14,
3798085090,1/14/11,26,
3798085090,2/15/11,24,
3798085090,3/17/11,20,
3798085090,4/15/11,16,
3798085090,5/17/11,8,
3798085090,6/16/11,5,
3798085090,7/18/11,5,
3798085090,8/16/11,7,
3798085090,9/15/11,7,
3798085090,10/14/11,9,
3798085090,11/14/11,12,
3798085090,12/14/11,20,
3798085090,1/16/12,17,
3798085090,2/14/12,17,
3798085090,3/15/12,19,
3798085090,4/16/12,18,
3798085090,5/15/12,12,
3798085090,6/14/12,9,
3798085090,7/16/12,9,
3798085090,8/14/12,9,
3798085090,9/13/12,10,
3798085090,10/12/12,8,
3798085090,11/12/12,11,
3798085090,12/13/12,11,
3798085090,1/15/13,35,
3798085090,2/13/13,13,
3798085090,3/15/13,13,
3986925707,1/23/09,71,
3986925707,2/24/09,77,
3986925707,3/25/09,52,
3986925707,4/24/09,53,
3986925707,5/26/09,42,
3986925707,6/24/09,41,
3986925707,7/24/09,41,
3986925707,8/24/09,26,
3986925707,9/23/09,26,
3986925707,10/22/09,25,
3986925707,11/23/09,62,
3986925707,12/23/09,83,
3986925707,1/25/10,94,
3986925707,2/24/10,78,
3986925707,3/25/10,73,
3986925707,4/26/10,66,
3986925707,5/25/10,45,
3986925707,6/24/10,43,
3986925707,7/26/10,32,
3986925707,8/24/10,48,
3986925707,9/24/10,51,
3986925707,10/25/10,42,
3986925707,11/23/10,44,
3986925707,12/23/10,87,
3986925707,1/25/11,92,
3986925707,2/24/11,83,
3986925707,3/25/11,70,
3986925707,4/25/11,53,
3986925707,5/25/11,36,
3986925707,6/24/11,57,
3986925707,7/26/11,77,
3986925707,8/24/11,42,
3986925707,9/23/11,24,
3986925707,10/24/11,29,
3986925707,11/22/11,61,
3986925707,12/22/11,87,
3986925707,1/24/12,85,
3986925707,2/23/12,72,
3986925707,3/23/12,70,
3986925707,4/24/12,67,
3986925707,5/23/12,36,
3986925707,6/22/12,30,
3986925707,7/24/12,28,
3986925707,8/22/12,19,
3986925707,9/21/12,18,
3986925707,10/22/12,21,
3986925707,11/20/12,31,
3986925707,12/21/12,50,
3986925707,1/23/13,86,
3986925707,2/22/13,52,
4083318016,6/26/12,7,
4083318016,7/26/12,5,
4083318016,8/24/12,5,
4083318016,9/25/12,6,
4083318016,10/24/12,7,
4083318016,11/26/12,7,
4083318016,12/26/12,10,
4083318016,1/25/13,12,
4083318016,2/26/13,11,
4254781750,1/29/09,67,
4254781750,3/2/09,73,
4254781750,3/31/09,50,
4254781750,4/30/09,46,
4254781750,6/1/09,26,
4254781750,6/30/09,21,
4254781750,7/30/09,18,
4254781750,8/28/09,17,
4254781750,9/29/09,18,
4254781750,10/28/09,20,
4254781750,11/30/09,31,
4254781750,12/30/09,61,
4254781750,1/29/10,55,
4254781750,3/2/10,59,
4254781750,3/31/10,48,
4254781750,4/30/10,40,
4254781750,6/1/10,27,
4254781750,6/30/10,11,
4254781750,7/30/10,26,
4254781750,8/30/10,17,
4254781750,9/30/10,7,
4254781750,10/29/10,26,
4254781750,11/30/10,53,
4254781750,12/30/10,68,
4254781750,1/31/11,79,
4254781750,3/2/11,86,
4254781750,3/31/11,62,
4254781750,4/29/11,39,
4254781750,6/1/11,39,
4254781750,6/30/11,26,
4254781750,8/1/11,15,
4254781750,8/30/11,14,
4254781750,9/29/11,13,
4254781750,10/28/11,14,
4254781750,11/29/11,54,
4254781750,12/29/11,85,
4254781750,1/30/12,72,
4254781750,2/29/12,68,
4254781750,3/29/12,60,
4254781750,4/30/12,47,
4254781750,5/30/12,26,
4254781750,6/28/12,18,
4254781750,7/30/12,13,
4254781750,8/28/12,4,
4254781750,9/27/12,6,
4254781750,10/26/12,5,
4254781750,11/28/12,16,
4254781750,12/28/12,48,
4254781750,1/29/13,67,
4254781750,2/28/13,53,
4432559801,4/14/11,0,
4432559801,5/16/11,11,
4432559801,6/15/11,15,
4432559801,7/15/11,9,
4432559801,8/15/11,10,
4432559801,9/14/11,9,
4432559801,10/13/11,11,
4432559801,11/11/11,18,
4432559801,12/13/11,52,
4432559801,1/13/12,45,
4432559801,2/13/12,51,
4432559801,3/14/12,50,
4432559801,4/13/12,48,
4432559801,5/14/12,30,
4432559801,6/13/12,23,
4432559801,7/13/12,15,
4432559801,8/13/12,11,
4432559801,9/12/12,9,
4432559801,10/11/12,7,
4432559801,11/9/12,19,
4432559801,12/12/12,42,
4432559801,1/14/13,38,
4432559801,2/12/13,26,
4432559801,3/14/13,26,
4447390154,1/5/09,52,
4447390154,2/3/09,38,
4447390154,3/5/09,41,
4447390154,4/3/09,35,
4447390154,5/5/09,25,
4447390154,6/4/09,18,
4447390154,7/6/09,11,
4447390154,8/4/09,8,
4447390154,9/2/09,7,
4447390154,10/2/09,10,
4447390154,11/2/09,15,
4447390154,12/3/09,30,
4447390154,1/5/10,49,
4447390154,2/3/10,40,
4447390154,3/5/10,39,
4447390154,4/5/10,36,
4447390154,5/5/10,26,
4447390154,6/4/10,21,
4447390154,7/6/10,23,
4447390154,8/4/10,12,
4447390154,9/2/10,9,
4447390154,10/5/10,18,
4447390154,11/3/10,21,
4447390154,12/3/10,38,
4447390154,1/4/11,45,
4447390154,2/3/11,48,
4447390154,3/7/11,50,
4447390154,4/5/11,35,
4447390154,5/4/11,25,
4447390154,6/6/11,25,
4447390154,7/6/11,14,
4447390154,8/4/11,7,
4447390154,9/2/11,12,
4447390154,10/4/11,17,
4447390154,11/2/11,20,
4447390154,12/2/11,27,
4447390154,1/4/12,46,
4447390154,2/2/12,32,
4447390154,3/5/12,34,
4447390154,4/3/12,28,
4447390154,5/3/12,23,
4447390154,6/4/12,14,
4447390154,7/3/12,9,
4447390154,8/2/12,9,
4447390154,8/31/12,7,
4447390154,10/2/12,12,
4447390154,10/31/12,13,
4447390154,12/3/12,26,
4447390154,1/3/13,41,
4447390154,2/1/13,38,
4447390154,3/5/13,34,
4447441601,1/5/09,117,
4447441601,2/3/09,62,
4447441601,3/5/09,78,
4447441601,4/3/09,57,
4447441601,5/5/09,46,
4447441601,6/4/09,16,
4447441601,7/6/09,18,
4447441601,8/4/09,14,
4447441601,9/2/09,11,
4447441601,10/2/09,13,
4447441601,11/2/09,15,
4447441601,12/3/09,18,
4447441601,1/5/10,38,
4447441601,2/3/10,27,
4447441601,3/5/10,27,
4447441601,4/5/10,24,
4447441601,5/5/10,18,
4447441601,6/4/10,15,
4447441601,7/6/10,15,
4447441601,8/4/10,13,
4447441601,9/2/10,12,
4447441601,10/5/10,15,
4447441601,11/3/10,15,
4447441601,12/3/10,30,
4447441601,1/4/11,37,
4447441601,2/3/11,24,
4447441601,3/7/11,25,
4447441601,4/5/11,19,
4447441601,5/4/11,15,
4447441601,6/6/11,17,
4447441601,7/6/11,13,
4447441601,8/4/11,11,
4447441601,9/2/11,9,
4447441601,10/4/11,12,
4447441601,11/2/11,11,
4447441601,12/2/11,16,
4447441601,1/4/12,36,
4447441601,2/2/12,23,
4447441601,3/5/12,25,
4447441601,4/3/12,20,
4447441601,5/3/12,17,
4447441601,6/4/12,13,
4447441601,7/3/12,12,
4447441601,8/2/12,11,
4447441601,8/31/12,11,
4447441601,10/2/12,11,
4447441601,10/31/12,9,
4447441601,12/3/12,14,
4447441601,1/3/13,27,
4447441601,2/1/13,28,
4447441601,3/5/13,26,
5200590955,1/26/09,127,
5200590955,2/25/09,126,
5200590955,3/26/09,99,
5200590955,4/27/09,68,
5200590955,5/27/09,34,
5200590955,6/25/09,24,
5200590955,7/27/09,16,
5200590955,8/25/09,11,
5200590955,9/24/09,11,
5200590955,10/23/09,32,
5200590955,11/24/09,71,
5200590955,12/24/09,112,
5200590955,1/26/10,125,
5200590955,2/25/10,106,
5200590955,3/26/10,75,
5200590955,4/27/10,79,
5200590955,5/26/10,52,
5200590955,6/25/10,27,
5200590955,7/27/10,18,
5200590955,8/25/10,21,
5200590955,9/27/10,12,
5200590955,10/26/10,33,
5200590955,11/24/10,66,
5200590955,12/27/10,131,
5200590955,1/26/11,115,
5200590955,2/25/11,130,
5200590955,3/28/11,109,
5200590955,4/26/11,63,
5200590955,5/26/11,51,
5200590955,6/27/11,31,
5200590955,7/27/11,13,
5200590955,8/25/11,13,
5200590955,9/26/11,19,
5200590955,10/25/11,35,
5200590955,11/23/11,87,
5200590955,12/23/11,132,
5200590955,1/25/12,141,
5200590955,2/24/12,98,
5200590955,3/26/12,103,
5200590955,4/25/12,66,
5200590955,5/24/12,23,
5200590955,6/25/12,20,
5200590955,7/25/12,13,
5200590955,8/23/12,12,
5200590955,9/24/12,14,
5200590955,10/23/12,15,
5200590955,11/21/12,41,
5200590955,12/24/12,76,
5200590955,1/24/13,113,
5200590955,2/25/13,89,
5223337009,1/26/09,58,
5223337009,2/25/09,48,
5223337009,3/26/09,39,
5223337009,4/27/09,21,
5223337009,5/27/09,18,
5223337009,6/25/09,14,
5223337009,7/27/09,16,
5223337009,8/25/09,11,
5223337009,9/24/09,8,
5223337009,10/23/09,13,
5223337009,11/24/09,22,
5223337009,12/24/09,48,
5223337009,1/26/10,58,
5223337009,2/25/10,50,
5223337009,3/26/10,35,
5223337009,4/27/10,34,
5223337009,5/26/10,28,
5223337009,6/25/10,18,
5223337009,7/27/10,20,
5223337009,8/25/10,14,
5223337009,9/27/10,15,
5223337009,10/26/10,15,
5223337009,11/24/10,20,
5223337009,12/27/10,30,
5223337009,1/26/11,38,
5223337009,2/25/11,40,
5223337009,3/28/11,39,
5223337009,4/26/11,30,
5223337009,5/26/11,28,
5223337009,6/27/11,30,
5223337009,7/27/11,22,
5223337009,8/25/11,16,
5223337009,9/26/11,15,
5223337009,10/25/11,16,
5223337009,11/23/11,18,
5223337009,12/23/11,21,
5223337009,1/25/12,30,
5223337009,2/24/12,24,
5223337009,3/26/12,38,
5223337009,4/25/12,32,
5223337009,5/24/12,23,
5223337009,6/25/12,22,
5223337009,7/25/12,20,
5223337009,8/23/12,16,
5223337009,9/24/12,17,
5223337009,10/23/12,15,
5223337009,11/21/12,29,
5223337009,12/24/12,38,
5223337009,1/24/13,64,
5223337009,2/25/13,35,
5336828351,1/28/09,19,
5336828351,2/27/09,24,
5336828351,3/30/09,18,
5336828351,4/29/09,17,
5336828351,5/29/09,13,
5336828351,6/29/09,15,
5336828351,7/29/09,12,
5336828351,8/27/09,10,
5336828351,9/28/09,9,
5336828351,10/27/09,8,
5336828351,11/27/09,11,
5336828351,12/29/09,17,
5336828351,1/28/10,20,
5336828351,3/1/10,24,
5336828351,3/30/10,17,
5336828351,4/29/10,5,
5336828351,5/28/10,20,
5336828351,6/29/10,12,
5336828351,7/29/10,18,
5336828351,8/27/10,1,
5336828351,9/29/10,8,
5336828351,10/28/10,9,
5336828351,11/29/10,16,
5336828351,12/29/10,23,
5336828351,1/28/11,22,
5336828351,3/1/11,23,
5336828351,3/30/11,18,
5336828351,4/28/11,16,
5336828351,5/31/11,16,
5336828351,6/29/11,13,
5336828351,7/29/11,11,
5336828351,8/29/11,12,
5336828351,9/28/11,9,
5336828351,10/27/11,11,
5336828351,11/28/11,21,
5336828351,12/28/11,25,
5336828351,1/27/12,23,
5336828351,2/28/12,25,
5336828351,3/28/12,20,
5336828351,4/27/12,17,
5336828351,5/29/12,17,
5336828351,6/27/12,13,
5336828351,7/27/12,12,
5336828351,8/27/12,10,
5336828351,9/26/12,11,
5336828351,10/25/12,14,
5336828351,11/27/12,17,
5336828351,12/27/12,22,
5336828351,1/28/13,37,
5336828351,2/27/13,34,
5608725618,1/6/09,55,
5608725618,2/4/09,39,
5608725618,3/6/09,50,
5608725618,4/6/09,28,
5608725618,5/6/09,35,
5608725618,6/5/09,32,
5608725618,7/7/09,29,
5608725618,8/5/09,20,
5608725618,9/3/09,7,
5608725618,10/5/09,12,
5608725618,11/3/09,16,
5608725618,12/4/09,26,
5608725618,1/6/10,65,
5608725618,2/4/10,39,
5608725618,3/8/10,40,
5608725618,4/6/10,32,
5608725618,5/6/10,28,
5608725618,6/7/10,27,
5608725618,7/7/10,18,
5608725618,8/5/10,16,
5608725618,9/7/10,21,
5608725618,10/6/10,12,
5608725618,11/4/10,15,
5608725618,12/6/10,41,
5608725618,1/5/11,57,
5608725618,2/4/11,34,
5608725618,3/8/11,48,
5608725618,4/6/11,27,
5608725618,5/5/11,23,
5608725618,6/7/11,23,
5608725618,7/7/11,19,
5608725618,8/5/11,14,
5608725618,9/6/11,19,
5608725618,10/5/11,19,
5608725618,11/3/11,21,
5608725618,12/5/11,30,
5608725618,1/5/12,49,
5608725618,2/3/12,34,
5608725618,3/6/12,41,
5608725618,4/4/12,28,
5608725618,5/4/12,25,
5608725618,6/5/12,27,
5608725618,7/5/12,24,
5608725618,8/3/12,21,
5608725618,9/4/12,13,
5608725618,10/3/12,12,
5608725618,11/1/12,13,
5608725618,12/4/12,19,
5608725618,1/4/13,46,
5608725618,2/4/13,46,
5608725618,3/6/13,33,
5649425146,1/6/09,65,
5649425146,2/4/09,27,
